Garden Name,Address,City,Zip,Full Address,Operator,Website,Description,Image_URL,Source_URL,Manual_Review,Original Address,Original City,Original Full Address,Corrected Address,Corrected City,Corrected Full Address,Latitude,Longitude,Geocode Status,Verification Source URL,Review Notes,_lat,_lon
Twin Brook Community Garden,3 Bosley Street,New Haven,6515,"3 Bosley Street, New Haven, CT 06515",Gather,https://gathernewhaven.org/our-programs/community-gardens/,"Gather New Haven supports community gardens throughout New Haven that are cared for by neighborhood leaders and volunteers. The gardens grow food, host free public gatherings, and build community ties.",Not Found,https://gathernewhaven.org/our-programs/community-gardens/,No - operator umbrella page,3 Bosley Street,New Haven,"3 Bosley Street, New Haven, CT 06515",3 Bosley Street,New Haven,"3 Bosley Street, New Haven, CT 06515",,,Manual Review Required,https://gathernewhaven.org/our-programs/community-gardens/,"Gather New Haven verifies the community garden program, but Nominatim did not return a specific address match for 3 Bosley Street. No confident point assigned.",,
WAIM Community Garden,Lawton Park Jackson Street,Willimantic,6226,"Lawton Park Jackson Street, Willimantic, CT 06226",Unknown,https://waimct.org/,"WAIM, Windham Area Interfaith Ministry, provides basic-needs support and connects area residents to stability resources. This is an organization-level match for the WAIM Community Garden name; no garden-specific page was verified.",https://waimct.org/wp-content/uploads/2022/10/cropped-cropped-WAIM_Logo_full.png,https://waimct.org/,Review - organization match only,Lawton Park Jackson Street,Willimantic,"Lawton Park Jackson Street, Willimantic, CT 06226","Lawton Park, Jackson Street",Willimantic,"Lawton Park, Jackson Street, Willimantic, CT 06226",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Lawton+Park%2C+Jackson+Street%2C+Willimantic%2C+CT+06226&format=jsonv2&limit=3&countrycodes=us,"Address is incomplete/vague. Nominatim only returned Jackson Street road segments, not Lawton Park or the garden entrance.",,
Columbia Community Garden,Szegden Road,Columbia,6237,"Szegden Road, Columbia, CT 06237",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Szegden Road,Columbia,"Szegden Road, Columbia, CT 06237",Szegda Road,Columbia,"Szegda Road, Columbia, CT 06237",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Szegda+Road%2C+Columbia%2C+CT+06237&format=jsonv2&limit=3&countrycodes=us,"Corrected likely spelling from Szegden to Szegda, but Nominatim returned no match; no verified point assigned.",,
The Victory Garden,Fairfield Hills,Newtown,6470,"Fairfield Hills, Newtown, CT 06470",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Fairfield Hills,Newtown,"Fairfield Hills, Newtown, CT 06470",Fairfield Hills,Newtown,"Fairfield Hills, Newtown, CT 06470",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Fairfield+Hills%2C+Newtown%2C+CT+06470&format=jsonv2&limit=3&countrycodes=us,"Address names a large campus/area, not a specific garden address. Nominatim did not return a specific point for The Victory Garden.",,
Sam and Dot Swendson Community Garden,Route 132 Kassen Rd,Bethlehem,6751,"Route 132 Kassen Rd, Bethlehem, CT 06751",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Route 132 Kassen Rd,Bethlehem,"Route 132 Kassen Rd, Bethlehem, CT 06751",Route 132 / Kasson Road,Bethlehem,"Route 132 / Kasson Road, Bethlehem, CT 06751",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Kasson+Road%2C+Bethlehem%2C+CT+06751&format=jsonv2&limit=3&countrycodes=us,"Corrected likely street spelling from Kassen to Kasson, but only road-level matches were returned; no specific garden point assigned.",,
Waterford Community Garden,Vetern Poad East Center Street,Waterford,6492,"Vetern Poad East Center Street, Waterford, CT 06492",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Vetern Poad East Center Street,Waterford,"Vetern Poad East Center Street, Waterford, CT 06492",Veteran Park / East Center Street,Waterford,"Veteran Park / East Center Street, Waterford, CT 06385",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Veteran+Park%2C+East+Center+Street%2C+Waterford%2C+CT+06385&format=jsonv2&limit=3&countrycodes=us,Original address has multiple errors and an inconsistent ZIP for Waterford. No authoritative specific garden location was found; no point assigned.,,
Salem Community Garden,Box 2133,Salem,6420,"Box 2133, Salem , CT 06420",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Box 2133,Salem,"Box 2133, Salem , CT 06420",Box 2133,Salem,"Box 2133, Salem, CT 06420",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Salem+Community+Garden%2C+Salem%2C+CT+06420&format=jsonv2&limit=3&countrycodes=us,Original address appears to be a PO Box or non-site mailing reference. No physical garden address was verified.,,
East Haddam Community Garden,Mt Parmassus Road,East Haddam,6423,"Mt Parmassus Road, East Haddam, CT 06423",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Mt Parmassus Road,East Haddam,"Mt Parmassus Road, East Haddam, CT 06423",Mount Parnassus Road,East Haddam,"Mount Parnassus Road, East Haddam, CT 06423",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Mount+Parnassus+Road%2C+East+Haddam%2C+CT+06423&format=jsonv2&limit=3&countrycodes=us,"Corrected street spelling from Mt Parmassus to Mount Parnassus, but Nominatim returned road-level matches only; no specific garden point assigned.",,
Danbury Community Garden,Sugar Hollow & Miry Road,Danbury,6810,"Sugar Hollow & Miry Road, Danbury, CT 06810",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Sugar Hollow & Miry Road,Danbury,"Sugar Hollow & Miry Road, Danbury, CT 06810",Sugar Hollow Road / Miry Brook Road,Danbury,"Sugar Hollow Road / Miry Brook Road, Danbury, CT 06810",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=Sugar+Hollow+Road+and+Miry+Brook+Road%2C+Danbury%2C+CT+06810&format=jsonv2&limit=3&countrycodes=us,"Address is an intersection/road-area description. Nominatim returned road-level results only, not a specific garden location.",,
Corner of 5th and Oliver Street,Corner of 5th and Oliver Street,Derby,6418,"Corner of 5th and Oliver Street, Derby, CT 06418",Unknown,Not Found,Not Found,Not Found,Not Found,Review - no verified public source found,Corner of 5th and Oliver Street,Derby,"Corner of 5th and Oliver Street, Derby, CT 06418",Corner of 5th Street and Oliver Street,Derby,"Corner of 5th Street and Oliver Street, Derby, CT 06418",,,Manual Review Required,https://nominatim.openstreetmap.org/search?q=5th+Street+and+Oliver+Street%2C+Derby%2C+CT+06418&format=jsonv2&limit=3&countrycodes=us,Address is an intersection description and Nominatim returned no specific match. No point assigned without a verifiable coordinate.,,
